date,daily_incidence,daily_deaths,daily_recoveries,I_proxy_D5,I_proxy_D7,I_proxy_D10,I_proxy_D14,I_proxy,observed_simple,observed_context,context_activity,gap_length
2021-04-21,129,0,79,383,503,689,906,383,1,1,552,0
2021-04-22,87,0,55,470,544,708,993,470,1,1,498,0
2021-04-23,0,0,0,325,470,708,843,325,0,0,634,1
2021-04-24,211,2,128,536,681,801,987,536,1,1,353,0
2021-04-25,49,0,48,476,585,804,1036,476,1,1,386,0
2021-04-26,49,0,45,396,634,779,1017,396,1,1,381,0
2021-04-27,39,0,52,348,564,818,1056,348,1,1,448,0
2021-04-28,0,0,0,348,435,673,938,348,0,0,276,1
2021-04-29,82,0,76,219,430,755,974,219,1,1,233,0
2021-04-30,57,1,52,227,487,703,957,227,1,1,237,0
2021-05-01,0,0,0,178,276,574,957,178,0,0,255,1
2021-05-02,88,3,86,227,315,575,900,227,1,1,262,0
2021-05-03,28,0,18,255,294,603,928,255,1,1,300,0
2021-05-04,0,0,0,173,255,392,819,173,0,0,271,1
2021-05-05,95,0,88,211,350,438,785,211,1,1,250,0
2021-05-06,60,0,129,271,328,449,758,271,1,1,237,0
2021-05-07,0,0,0,183,271,410,758,183,0,0,303,1
2021-05-08,74,0,86,229,345,484,621,229,1,1,313,0
2021-05-09,40,0,127,269,297,442,612,269,1,1,252,0
2021-05-10,34,0,82,208,303,419,597,208,1,1,288,0
2021-05-11,84,0,154,232,387,503,642,232,1,1,295,0
2021-05-12,0,0,0,232,292,415,642,232,0,0,371,1
2021-05-13,90,0,106,248,322,477,650,248,1,1,241,0
2021-05-14,57,0,47,265,379,534,650,265,1,1,305,0
2021-05-15,66,0,49,297,371,505,716,297,1,1,274,0
2021-05-16,0,0,0,213,331,445,628,213,0,0,377,1
2021-05-17,65,0,110,278,362,510,665,278,1,1,222,0
2021-05-18,62,0,53,250,340,498,727,250,1,1,168,0
2021-05-19,37,0,70,230,377,495,669,230,1,1,127,0
